,count,max,min,percentage
,eval_w,eval_w,eval_w,eval_w
rewards,,,,
"(0.7, -1.0)",220753,"(0.21052551, 0.7894745)","(0.0, 1.0)",21.05262655961365
"(8.2, -3.0)",174937,"(0.37735844, 0.62264156)","(0.21052647, 0.78947353)",16.683276478503725
"(11.5, -5.0)",70344,"(0.4444437, 0.5555563)","(0.3773594, 0.6226406)",6.708520213584696
"(14.0, -7.0)",33288,"(0.4761896, 0.5238104)","(0.44444466, 0.55555534)",3.174588036930049
"(15.1, -8.0)",24966,"(0.49999905, 0.50000095)","(0.47619057, 0.52380943)",2.3809410276975367
"(16.1, -9.0)",34953,"(0.5333328, 0.46666718)","(0.5, 0.5)",3.3333746591809663
"(19.6, -13.0)",57569,"(0.5882349, 0.4117651)","(0.5333338, 0.46666622)",5.490202436254085
"(22.4, -17.0)",18691,"(0.60606, 0.39393997)","(0.58823586, 0.41176414)",1.7825109648599962
"(23.7, -19.0)",413076,"(1.0, 0.0)","(0.606061, 0.39393902)",39.393959623375295
